Name,Open,High,Low,Close
count,8364.0,8364.0,8364.0,8364.0
mean,22.284350151841224,22.49586662362506,22.054243920373025,22.281018027259687
std,37.76340245539372,38.05773267058666,37.44743243649739,37.76446946661696
min,0.23305,0.23564000000000002,0.23051,0.23051
25%,1.1371,1.1642,1.1128,1.1371
50%,1.6328,1.6634,1.6006,1.62825
75%,23.739,23.930500000000002,23.335749999999997,23.6945
max,175.11,175.61,174.27,175.61
